n,steps_trained,layer,tensor,pearson,spearman,first_expo_loss_min,first_expo_loss_max,first_expo_sparsity_first,first_expo_sparsity_last,positions,eval_passes
2048,2309,0,xy,-0.031,0.2706,0.0006,2.353,0.11599,0.11215,77,5
2048,2309,1,xy,0.1443,0.5422,0.0006,2.353,0.14022,0.11661,77,5
2048,2309,2,xy,0.0755,0.5965,0.0006,2.353,0.14515,0.12002,77,5
2048,2309,3,xy,-0.006,0.614,0.0006,2.353,0.17527,0.16256,77,5
2048,2309,0,xy,-0.121,-0.2213,0.0022,3.2019,0.10616,0.11774,77,5
2048,2309,1,xy,0.1951,0.0258,0.0022,3.2019,0.11174,0.08714,77,5
2048,2309,2,xy,0.1444,0.2024,0.0022,3.2019,0.08552,0.04934,77,5
2048,2309,3,xy,0.1021,-0.2868,0.0022,3.2019,0.08264,0.06192,77,5
