n,steps_trained,layer,tensor,pearson,spearman,first_expo_loss_min,first_expo_loss_max,first_expo_sparsity_first,first_expo_sparsity_last,positions,eval_passes
2048,4000,0,xy,-0.2393,-0.143,3.258,3.2702,0.14607,0.16458,77,5
2048,4000,1,xy,0.2348,0.3837,3.258,3.2702,0.14661,0.14654,77,5
2048,4000,2,xy,0.0876,0.1665,3.258,3.2702,0.09448,0.06719,77,5
2048,4000,3,xy,-0.1271,-0.5997,3.258,3.2702,0.08337,0.05706,77,5
8192,4000,0,xy,-0.1469,-0.0456,3.257,3.2659,0.19864,0.22957,77,5
8192,4000,1,xy,0.4605,0.3717,3.257,3.2659,0.07961,0.07604,77,5
8192,4000,2,xy,0.3594,0.1465,3.257,3.2659,0.13205,0.05561,77,5
8192,4000,3,xy,-0.1081,-0.3627,3.257,3.2659,0.06219,0.04636,77,5
